Barangay,Indicators,Sum of Magnitude 
Alicaocao,Households who experienced decrease in water supply,15
Alicaocao,Households who experienced more frequent brownouts,212
Alicaocao,Households who experienced more frequent droughts,30
Alicaocao,Households who experienced more frequent flooding,39
Alicaocao,Households who experienced moving out/leaving previous dwelling unit because of any calamity,16
Alinam,Households who experienced decrease in water supply,9
Alinam,Households who experienced more frequent brownouts,97
Alinam,Households who experienced more frequent droughts,14
Alinam,Households who experienced more frequent flooding,3
Alinam,Households who experienced moving out/leaving previous dwelling unit because of any calamity,6
Amobocan,Households who experienced decrease in water supply,8
Amobocan,Households who experienced more frequent brownouts,97
Amobocan,Households who experienced more frequent droughts,37
Amobocan,Households who experienced more frequent flooding,10
Amobocan,Households who experienced moving out/leaving previous dwelling unit because of any calamity,12
Andarayan,Households who experienced decrease in water supply,3
Andarayan,Households who experienced more frequent brownouts,47
Andarayan,Households who experienced more frequent droughts,19
Andarayan,Households who experienced more frequent flooding,43
Andarayan,Households who experienced moving out/leaving previous dwelling unit because of any calamity,15
Baculod,Households who experienced decrease in water supply,38
Baculod,Households who experienced more frequent brownouts,254
Baculod,Households who experienced more frequent droughts,93
Baculod,Households who experienced more frequent flooding,0
Baculod,Households who experienced moving out/leaving previous dwelling unit because of any calamity,15
Baringin Norte,Households who experienced decrease in water supply,13
Baringin Norte,Households who experienced more frequent brownouts,36
Baringin Norte,Households who experienced more frequent droughts,18
Baringin Norte,Households who experienced more frequent flooding,24
Baringin Norte,Households who experienced moving out/leaving previous dwelling unit because of any calamity,14
Baringin Sur,Households who experienced decrease in water supply,25
Baringin Sur,Households who experienced more frequent brownouts,115
Baringin Sur,Households who experienced more frequent droughts,45
Baringin Sur,Households who experienced more frequent flooding,1
Baringin Sur,Households who experienced moving out/leaving previous dwelling unit because of any calamity,1
Buena Suerte,Households who experienced decrease in water supply,26
Buena Suerte,Households who experienced more frequent brownouts,107
Buena Suerte,Households who experienced more frequent droughts,30
Buena Suerte,Households who experienced more frequent flooding,3
Buena Suerte,Households who experienced moving out/leaving previous dwelling unit because of any calamity,0
Bugallon,Households who experienced decrease in water supply,0
Bugallon,Households who experienced more frequent brownouts,48
Bugallon,Households who experienced more frequent droughts,24
Bugallon,Households who experienced more frequent flooding,8
Bugallon,Households who experienced moving out/leaving previous dwelling unit because of any calamity,1
Buyon,Households who experienced decrease in water supply,18
Buyon,Households who experienced more frequent brownouts,139
Buyon,Households who experienced more frequent droughts,74
Buyon,Households who experienced more frequent flooding,6
Buyon,Households who experienced moving out/leaving previous dwelling unit because of any calamity,4
